,Mass,Radius,Luminosity,Pressure,Temperature,Density,epsilon,nabla,"radiative=1, convetice=0"
42,1.6708212547371576e+31,3610174518.0233154,5.200729064108341e+32,1.760410021321808e+17,15654974.154420646,83.19829506883383,28.392373497939964,0.4,1.0
43,1.7106027126151633e+31,3639220629.897715,5.313509555027916e+32,1.7583339937658246e+17,15647588.27299571,83.13945555238146,28.292732605759372,0.4,1.0
44,1.750384170493169e+31,3667826054.4294,5.425896558462302e+32,1.7562754198630784e+17,15640259.329121621,83.08108314112371,28.194321363418585,0.4,1.0
45,1.7901656283711747e+31,3696004857.4549394,5.537894003650362e+32,1.754233997388347e+17,15632986.318852821,83.02317016863829,28.097112838507677,0.4,1.0
46,1.8299470862491804e+31,3723770750.3931575,5.649505795681367e+32,1.7522094219374192e+17,15625768.230872745,82.96570886522878,28.001080471702412,0.4,1.0
47,1.869728544127186e+31,3751137090.2451353,5.7607358154950034e+32,1.7502013869270963e+17,15618604.046493804,82.90869135811988,27.906198066034694,0.4,1.0
48,1.9095100020051916e+31,3778116879.5942116,5.871587919881362e+32,1.748209583595191e+17,15611492.739657402,82.85210967165125,27.81243977648726,0.4,1.0
49,1.9492914598831973e+31,3804722766.60598,5.982065941480952e+32,1.746233701000528e+17,15604433.276933923,82.79595572746996,27.71978009990246,0.4,1.0
50,1.989072917761203e+31,3830967045.0282927,6.092173688784689e+32,1.7442734260229427e+17,15597424.617522739,82.74022134472139,27.628193865197478,0.4,1.0
51,2.028854375639209e+31,3856861654.191256,6.201914946133899e+32,1.742328443363283e+17,15590465.713252202,82.6848982402378,27.537656223878315,0.4,1.0
52,2.0686358335172144e+31,3882418179.007235,6.3112934737203195e+32,1.7403984355434077e+17,15583555.508579655,82.6299780287243,27.448142640844598,0.4,1.0
53,2.1084172913952203e+31,3907647849.970851,6.420313007586101e+32,1.7384830829061888e+17,15576692.940591421,82.57545222294202,27.359628885478116,0.4,1.0
54,2.1481987492732258e+31,3932561543.15898,6.528977259623802e+32,1.7365820636155082e+17,15569876.93900281,82.52131223388764,27.272091023008542,0.4,1.0
55,2.1879802071512317e+31,3957169780.230757,6.637289917576394e+32,1.7346950536562602e+17,15563106.426158117,82.46754937096931,27.185505406147982,0.4,1.0
56,2.227761665029237e+31,3981482728.427573,6.745254645037257e+32,1.7328217268343507e+17,15556380.31703062,82.41415484217852,27.099848666990034,0.4,1.0
57,2.267543122907243e+31,4005510200.573075,6.852875081450185e+32,1.730961754776698e+17,15549697.519222582,82.36111975425698,27.015097709164657,0.4,1.0
58,2.3073245807852486e+31,4029261655.073166,6.960154842109378e+32,1.7291148069312304e+17,15543056.932965254,82.30843511285875,26.931229700245254,0.4,1.0
59,2.3471060386632545e+31,4052746195.916007,7.067097518159454e+32,1.7272805505668896e+17,15536457.451118868,82.25609182270699,26.84822206439967,0.4,1.0
60,2.38688749654126e+31,4075972572.672015,7.173706676595433e+32,1.7254586507736278e+17,15529897.959172642,82.20408068774451,26.766052475281178,0.4,1.0
61,2.426668954419266e+31,4098949180.493864,7.279985860262753e+32,1.7236487704624093e+17,15523377.33524478,82.15239241127833,26.684698849153612,0.4,1.0
62,2.4664504122972714e+31,4121684060.1164837,7.38593858785726e+32,1.72185057036521e+17,15516894.45008247,82.10101759611734,26.604139338244412,0.4,1.0
63,2.5062318701752773e+31,4144184897.857061,7.491568353925212e+32,1.7200637090350176e+17,15510448.167061882,82.04994674470296,26.52435232432245,0.4,1.0
64,2.5460133280532828e+31,4166459025.615039,7.596878628863275e+32,1.7182878428458314e+17,15504037.342188178,81.9991702592318,26.44531641249349,0.4,1.0
65,2.5857947859312882e+31,4188513420.872118,7.701872858918526e+32,1.716522625992662e+17,15497660.824095497,81.94867844177075,26.367010425210516,0.4,1.0
66,2.625576243809294e+31,4210354706.692255,7.806554466188461e+32,1.7147677104915325e+17,15491317.454046967,81.89846149436326,26.289413396493238,0.4,1.0
67,2.6653577016872996e+31,4231989151.721662,7.910926848620977e+32,1.7130227461794765e+17,15485006.065934699,81.84850951912662,26.212504566352912,0.4,1.0
68,2.7051391595653056e+31,4253422670.1888094,8.014993380014384e+32,1.71128738071454e+17,15478725.486279791,81.7988125183401,26.136263375417997,0.4,1.0
69,2.744920617443311e+31,4274660821.9044237,8.118757410017405e+32,1.7095612595757808e+17,15472474.534232326,81.74936039452287,26.060669459756475,0.4,1.0
70,2.784702075321317e+31,4295708812.261488,8.222222264129173e+32,1.7078440260632682e+17,15466252.021571366,81.70014295050198,25.985702645891823,0.4,1.0
71,2.8244835331993224e+31,4316571492.235241,8.325391243699232e+32,1.7061353212980826e+17,15460056.752704965,81.65114988946898,25.911342946007323,0.4,1.0
72,2.8642649910773284e+31,4337253358.383179,8.428267625927536e+32,1.704434784222317e+17,15453887.524670158,81.60237081502586,25.837570553336676,0.4,1.0
73,2.904046448955334e+31,4357758552.845056,8.530854663864453e+32,1.7027420515990752e+17,15447743.127132967,81.55379523121874,25.764365837735767,0.4,1.0
74,2.9438279068333398e+31,4378090863.342879,8.633155586410755e+32,1.7010567580124733e+17,15441622.342388395,81.50541254255972,25.691709341433835,0.4,1.0
75,2.9836093647113452e+31,4398253723.180915,8.735173598317631e+32,1.699378535867639e+17,15435523.945360435,81.45721205403564,25.61958177495947,0.4,1.0
76,3.023390822589351e+31,4418250211.2456875,8.83691188018668e+32,1.697707015390711e+17,15429446.70360206,81.40918297110389,25.547964013238932,0.4,1.0
77,3.0631722804673566e+31,4438083052.005974,8.93837358846991e+32,1.6960418246288403e+17,15423389.377295231,81.36131439967441,25.476837091863484,0.4,1.0
78,3.1029537383453626e+31,4457754615.512812,9.039561855469741e+32,1.6943825894501894e+17,15417350.719250893,81.31359534607755,25.40618220352264,0.4,1.0
79,3.142735196223368e+31,4477266917.399491,9.140479789339001e+32,1.6927289335439328e+17,15411329.474908976,81.26601471701711,25.335980694600963,0.4,1.0
80,3.182516654101374e+31,4496622562.589945,9.241129882020154e+32,1.691080686663971e+17,15405325.235208135,81.21856681782204,25.266223562121304,0.4,1.0
81,3.2222981119793794e+31,4515830399.186984,9.341510127026576e+32,1.6894391709086256e+17,15399343.571816884,81.17128606993752,25.19696878684691,0.4,1.0
82,3.2620795698573854e+31,4534893965.558437,9.441621134503165e+32,1.687804644373215e+17,15393385.471341144,81.12418007654846,25.128223662873403,0.4,1.0
83,3.301861027735391e+31,4553815319.604032,9.541464368823786e+32,1.6861770508361824e+17,15387450.617530247,81.07724822494038,25.059981072567027,0.4,1.0
84,3.3416424856133968e+31,4572596498.003578,9.64104128911496e+32,1.684556334134707e+17,15381538.69874276,81.03048987443582,24.992234024206386,0.4,1.0
85,3.3814239434914022e+31,4591239516.216976,9.740353349255853e+32,1.6829424381647043e+17,15375649.407946482,80.98390435645692,24.924975649630564,0.4,1.0
86,3.421205401369408e+31,4609746368.484206,9.839401997878291e+32,1.681335306880828e+17,15369782.442718437,80.93749097458672,24.85819920194152,0.4,1.0
87,3.4609868592474136e+31,4628119027.825338,9.938188678366749e+32,1.6797348842964675e+17,15363937.505244887,80.89124900463075,24.791898053262347,0.4,1.0
88,3.5007683171254196e+31,4646359446.040525,1.0036714828858356e+33,1.6781411144837494e+17,15358114.302321322,80.84517769467827,24.726065692547287,0.4,1.0
89,3.540549775003425e+31,4664469553.710007,1.0134981882242888e+33,1.6765539415735366e+17,15352312.545352466,80.79927626516276,24.660695723443418,0.4,1.0
90,3.580331232881431e+31,4682451260.194106,1.0232991266162778e+33,1.6749733097554294e+17,15346531.95035227,80.75354390892267,24.59578186220212,0.4,1.0
91,3.6201126907594364e+31,4700306453.633233,1.0330744403013112e+33,1.6733991632777645e+17,15340772.23794392,80.70797979126128,24.531317935639038,0.4,1.0
92,3.6598941486374424e+31,4718037000.947884,1.0428242709941623e+33,1.6718314464476154e+17,15335033.13335983,80.66258305000659,24.46729787914197,0.4,1.0
93,3.699675606515448e+31,4735644747.838636,1.05254875988487e+33,1.6702701036307923e+17,15329314.36644165,80.61735279557055,24.40371573472321,0.4,1.0
94,3.7394570643934538e+31,4753131518.78616,1.0622480476387387e+33,1.6687150792518426e+17,15323615.671640256,80.57228811100802,24.340565649118407,0.4,1.0
95,3.7792385222714592e+31,4770499117.051204,1.0719222743963371e+33,1.66716631779405e+17,15317936.78801576,80.52738805207541,24.277841871927546,0.4,1.0
96,3.8190199801494647e+31,4787749324.674604,1.0815715797735002e+33,1.665623763799435e+17,15312277.459237503,80.48265164728863,24.215538753798988,0.4,1.0
97,3.8588014380274706e+31,4804883902.477284,1.0911961028613276e+33,1.664087361868755e+17,15306637.433584055,80.43807789798112,24.15365074465431,0.4,1.0
98,3.898582895905476e+31,4821904590.06025,1.100795982226184e+33,1.6625570566615043e+17,15301016.463943223,80.39366577836088,24.092172391953692,0.4,1.0
99,3.938364353783482e+31,4838813105.804595,1.1103713559096999e+33,1.661032792895914e+17,15295414.307812037,80.34941423556745,24.03109833899974,0.4,1.0
100,3.9781458116614875e+31,4855611146.871497,1.1199223614287703e+33,1.6595145153489514e+17,15289830.727296768,80.30532218972834,23.97042332327998,0.4,1.0
101,4.0179272695394934e+31,4872300389.20222,1.1294491357755561e+33,1.658002168856321e+17,15284265.489112912,80.26138853401494,23.91014217484564,0.4,1.0
102,4.057708727417499e+31,4888882487.518111,1.138951815417483e+33,1.6564956983124643e+17,15278718.364585198,80.21761213469816,23.850249814727167,0.4,1.0
103,4.097490185295504e+31,4905359075.320606,1.1484305362972421e+33,1.6549950486705597e+17,15273189.129647586,80.17399183120342,23.79074125338406,0.4,1.0
104,4.13727164317351e+31,4921731764.891224,1.1578854338327896e+33,1.653500164942521e+17,15267677.564843267,80.13052643616527,23.731611589189576,0.4,1.0
105,4.177053101051516e+31,4938002147.29157,1.167316642917347e+33,1.6520109921990003e+17,15262183.455324663,80.0872147354816,23.67285600694813,0.4,1.0
106,4.216834558929522e+31,4954171792.363334,1.1767242979194009e+33,1.6505274755693862e+17,15256706.59085343,80.04405548836714,23.614469776445237,0.4,1.0
107,4.256616016807527e+31,4970242248.7282915,1.1861085326827031e+33,1.6490495602418035e+17,15251246.765800452,80.00104742740692,23.55644825102918,0.4,1.0
