logT,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1
7.3,-0.468521083,-0.484,-0.484,-0.483,-0.483,-0.482,-0.478,-0.467,-0.439,-0.381,-0.29,-0.178,-0.065,0.059,0.235,0.472,2.81,3.3,3.9
7.4,-0.468521083,-0.487,-0.487,-0.487,-0.487,-0.486,-0.483,-0.476,-0.457,-0.412,-0.336,-0.24,-0.145,-0.034,0.128,0.367,2.81,3.3,3.9
7.5,-0.468521083,-0.491,-0.491,-0.491,-0.491,-0.491,-0.489,-0.484,-0.471,-0.44,-0.384,-0.309,-0.224,-0.123,0.032,0.285,2.81,3.3,3.9
7.6,-0.468521083,-0.497,-0.497,-0.497,-0.497,-0.496,-0.495,-0.492,-0.483,-0.462,-0.422,-0.365,-0.292,-0.201,-0.048,0.19,2.81,3.3,3.9
7.7,-0.468521083,-0.503,-0.503,-0.503,-0.503,-0.503,-0.502,-0.5,-0.493,-0.478,-0.451,-0.407,-0.351,-0.265,-0.152,0.133,2.81,3.3,3.9
7.8,-0.468521083,-0.512,-0.511,-0.511,-0.511,-0.511,-0.511,-0.509,-0.504,-0.493,-0.474,-0.443,-0.399,-0.345,-0.205,0.119,2.81,3.3,3.9
7.9,-0.468521083,-0.522,-0.522,-0.521,-0.521,-0.521,-0.521,-0.519,-0.516,-0.509,-0.495,-0.476,-0.451,-0.411,-0.281,0.044,2.81,3.3,3.9
8,-0.468521083,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.533,-0.53,-0.526,-0.518,-0.513,-0.499,-0.523,-0.338,0.039,2.81,3.3,3.9
8.1,-0.468521083,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.526,-0.518,-0.513,-0.499,-0.523,-0.338,0.039,2.81,3.3,3.9
8.3,-0.468521083,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.526,-0.518,-0.513,-0.499,-0.523,-0.338,0.039,2.81,3.3,3.9
8.5,-0.468521083,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.526,-0.518,-0.513,-0.499,-0.523,-0.338,0.039,2.81,3.3,3.9
8.7,-0.468521083,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.534,-0.526,-0.518,-0.513,-0.499,-0.523,-0.338,0.039,2.81,3.3,3.9
